type,latitude,longitude,direction,mrm,id,jurisdiction,route,description,rtmp_url,ios_url,rtsp_url,image_url,active
Traffic Camera,36.632377,-76.215888,NB,5.9,a4fae260-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 05.9 / NB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream011,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream011/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream011,https://images.skyvdn.com/thumbs/chesapeakestream011.flv.png,0
Traffic Camera,36.605171,-76.20098,NB,3.5,a4fb0970-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,VA-168,VA-168 / MM 03.5 / NB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream012,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream012/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream012,https://images.skyvdn.com/thumbs/chesapeakestream012.flv.png,0
Traffic Camera,36.822464,-76.418357,None,0,9eec9aa1-dd5e-11e7-9cc4-0123456789ab,City of Chesapeake,Portsmouth Blvd,Portsmouth Blvd & Capri Circle E,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream015,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream015/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream015,https://images.skyvdn.com/thumbs/chesapeakestream015.flv.png,0
Traffic Camera,36.824424,-76.409215,None,1,abc1cf00-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Taylor Road,Taylor Rd & Portsmouth Blvd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream016,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream016/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream016,https://images.skyvdn.com/thumbs/chesapeakestream016.flv.png,0
Traffic Camera,36.831311,-76.413792,None,2,abc1f610-83c9-11e7-9a6c-0123456789ab,City of Chesapeake,Taylor Road,Taylor Rd & Wal-Mart Entrance,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream017,http://s11.us-east-1.skyvdn.com:1935/rtplive/chesapeakestream017/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/chesapeakestream017,https://images.skyvdn.com/thumbs/chesapeakestream017.flv.png,0
Traffic Camera,37.34634,-77.40594,SB,60.8,0d1d5591-b8e4-11e7-bd9e-0123456789ab,Richmond,I-95,I-95 / MM 60.8 / SB / John Tyler,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB608,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB608/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB608,https://images.skyvdn.com/thumbs/RichmondCS095SB608.flv.png,1
Traffic Camera,37.34048,-77.4056,SB,60.4,c4cf0cc0-b8e3-11e7-bd9e-0123456789ab,Richmond,I-95,I-95 / MM 60.4 / SB / South of Old Bermuda Hundred Rd,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB604,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB604/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB604,https://images.skyvdn.com/thumbs/RichmondCS095SB604.flv.png,1
Traffic Camera,37.266502,-77.396437,SB,54.9,b7053911-c893-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 54.9 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB549,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB549/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB549,https://images.skyvdn.com/thumbs/RichmondCS095SB549.flv.png,1
Traffic Camera,37.33168,-77.40043,NB,59.7,ff31f021-c893-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 59.7 / NB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095NB597,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095NB597/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095NB597,https://images.skyvdn.com/thumbs/RichmondCS095NB597.flv.png,1
Traffic Camera,37.297404,-77.391078,SB,57.2,2446bc60-c894-11e7-b10a-0123456789ab,Richmond,I-95,I-95 / MM 57.2 / SB,rtmp://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB572,http://s11.us-east-1.skyvdn.com:1935/rtplive/RichmondCS095SB572/playlist.m3u8,rtsp://s11.us-east-1.skyvdn.com/rtplive/RichmondCS095SB572,https://images.skyvdn.com/thumbs/RichmondCS095SB572.flv.png,1
